400 1.0 bar	0.10 MPa
470 1.2 bar	0.12 MPa
550 1.4 bar	0.14 MPa
650 1.6 bar	0.16 MPa
730 1.8 bar	0.18 MPa
830 2.0 bar	0.20 MPa
910 2.2 bar	0.22 MPa
1020    2.4 bar	0.24 MPa
1120    2.6 bar	0.26 MPa
1220    2.8 bar	0.28 MPa
1300    3.0 bar	0.30 MPa
1400    3.2 bar	0.32 MPa
1450    3.4 bar	0.34 MPa
1550    3.6 bar	0.36 MPa
1650    3.8 bar	0.38 MPa
1750    4.0 bar	0.40 MPa
1850    4.2 bar	0.42 MPa
1950    4.4 bar	0.44 MPa
2050    4.6 bar	0.46 MPa
2100    4.8 bar	0.48 MPa
2200    5.0 bar	0.50 MPa
2300    5.2 bar	0.52 MPa
2400    5.4 bar	0.54 MPa
2500    5.6 bar	0.56 MPa
2600    5.8 bar	0.58 MPa
2700    6.0 bar	0.60 MPa
2800    6.2 bar	0.62 MPa
2900    6.4 bar	0.64 MPa
3000    6.6 bar	0.66 MPa
3100    6.8 bar	0.68 MPa
3200    7.0 bar	0.70 MPa
